"APR","Count"
"4.282","228"
"4.283","181"
"4.284","310"
"4.285","230"
"4.286","219"
"4.287","299"
"4.288","188"
"4.289","214"
"4.29","236"
"4.291","226"
"4.292","231"
"4.293","252"
"4.294","226"
"4.295","248"
"4.296","282"
"4.297","199"
"4.298","201"
"4.299","200"
"4.3","1211"
"4.301","226"
"4.302","403"
"4.303","642"
"4.304","232"
"4.305","196"
"4.306","199"
"4.307","237"
"4.308","254"
"4.309","254"
"4.31","221"
"4.311","225"
"4.312","265"
"4.313","208"
"4.314","225"
"4.315","930"
"4.316","297"
"4.317","207"
"4.318","242"
"4.319","212"
"4.32","328"
"4.321","244"
"4.322","280"
"4.323","210"
"4.324","343"
"4.325","243"
"4.326","226"
"4.327","297"
"4.328","251"
"4.329","346"
"4.33","240"
"4.331","225"
"4.332","413"
"4.333","223"
"4.334","255"
"4.335","240"
"4.336","209"
"4.337","243"
"4.338","231"
"4.339","233"
"4.34","237"
"4.341","225"
"4.342","267"
"4.343","245"
"4.344","212"
"4.345","211"
"4.346","187"
"4.347","209"
"4.348","233"
"4.349","226"
"4.35","188"
"4.351","211"
"4.352","240"
"4.353","216"
"4.354","206"
"4.355","281"
"4.356","289"
"4.357","242"
"4.358","261"
"4.359","275"
"4.36","222"
"4.361","215"
"4.362","276"
"4.363","270"
"4.364","227"
"4.365","218"
"4.366","195"
"4.367","279"
"4.368","238"
"4.369","206"
"4.37","198"
"4.371","202"
"4.372","207"
"4.373","215"
"4.374","284"
"4.375","4071"
"4.376","243"
"4.377","237"
"4.378","241"
"4.379","257"
"4.38","232"
"4.381","423"
"4.382","220"
"4.383","226"
"4.384","212"
"4.385","244"
"4.386","280"
"4.387","242"
"4.388","264"
"4.389","260"
"4.39","381"
"4.391","289"
"4.392","250"
"4.393","245"
"4.394","258"
"4.395","281"
"4.396","289"
"4.397","285"
"4.398","247"
"4.399","271"
"4.4","511"
"4.401","206"
"4.402","282"
"4.403","180"
"4.404","228"
"4.405","279"
"4.406","247"
"4.407","241"
"4.408","200"
"4.409","329"
"4.41","256"
"4.411","226"
"4.412","277"
"4.413","205"
"4.414","269"
"4.415","266"
"4.416","253"
"4.417","278"
"4.418","219"
"4.419","226"
"4.42","256"
"4.421","294"
"4.422","207"
"4.423","244"
"4.424","268"
"4.425","245"
"4.426","3480"
"4.427","277"
"4.428","249"
"4.429","275"
"4.43","2631"
"4.431","255"
"4.432","274"
"4.433","302"
"4.434","325"
"4.435","261"
"4.436","288"
"4.437","281"
"4.438","303"
"4.439","292"
"4.44","264"
"4.441","641"
"4.442","244"
"4.443","285"
"4.444","276"
"4.445","361"
"4.446","340"
"4.447","325"
"4.448","324"
"4.449","337"
"4.45","340"
"4.451","279"
"4.452","413"
"4.453","460"
"4.454","388"
"4.455","269"
"4.456","449"
"4.457","278"
"4.458","308"
"4.459","326"
"4.46","425"
"4.461","269"
